"Designator","Mid X","Mid Y","Rotation","Layer"
"C1","148.731600","-125.034900","-90.000000","Top"
"J2","142.674299","-124.523000","-90.000000","Top"
"R1","153.087000","-125.042000","-90.000000","Top"
"R2","150.918600","-125.042000","-90.000000","Top"
"U2","156.822000","-126.382001","90.000000","Top"
"U4","139.183000","-131.168000","-90.000000","Top"
